,label_2
0,22.0
1,25.0
2,30.0
3,27.0
4,29.0
5,30.0
6,27.0
7,33.0
8,26.0
9,22.0
10,26.0
11,25.0
12,27.0
13,26.0
14,23.0
15,26.0
16,28.0
17,25.0
18,22.0
19,29.0
20,33.0
21,24.0
22,29.0
23,22.0
24,61.0
25,22.0
26,28.0
27,23.0
28,25.0
29,26.0
30,23.0
31,30.0
32,30.0
33,24.0
34,28.0
35,26.0
36,24.0
37,25.0
38,26.0
39,25.0
40,25.0
41,23.0
42,25.0
43,30.0
44,31.0
45,26.0
46,26.0
47,32.0
48,25.0
49,23.0
50,22.0
51,24.0
52,29.0
53,27.0
54,23.0
55,23.0
56,25.0
57,34.0
58,28.0
59,25.0
60,30.0
61,23.0
62,23.0
63,26.0
64,28.0
65,31.0
66,25.0
67,25.0
68,22.0
69,32.0
70,33.0
71,28.0
72,61.0
73,30.0
74,23.0
75,31.0
76,26.0
77,26.0
78,27.0
79,26.0
80,34.0
81,32.0
82,24.0
83,23.0
84,26.0
85,26.0
86,31.0
87,23.0
88,26.0
89,29.0
90,29.0
91,31.0
92,25.0
93,23.0
94,27.0
95,30.0
96,31.0
97,25.0
98,27.0
99,29.0
100,23.0
101,22.0
102,26.0
103,22.0
104,24.0
105,36.0
106,26.0
107,26.0
108,32.0
109,25.0
110,27.0
111,27.0
112,26.0
113,24.0
114,30.0
115,30.0
116,26.0
117,25.0
118,23.0
119,26.0
120,23.0
121,26.0
122,41.0
123,33.0
124,32.0
125,28.0
126,29.0
127,35.0
128,34.0
129,28.0
130,28.0
131,27.0
132,36.0
133,23.0
134,28.0
135,22.0
136,29.0
137,27.0
138,30.0
139,31.0
140,23.0
141,25.0
142,26.0
143,31.0
144,23.0
145,26.0
146,30.0
147,26.0
148,33.0
149,30.0
150,29.0
151,27.0
152,23.0
153,24.0
154,31.0
155,30.0
156,23.0
157,25.0
158,28.0
159,23.0
160,31.0
161,25.0
162,25.0
163,28.0
164,30.0
165,26.0
166,30.0
167,26.0
168,26.0
169,25.0
170,23.0
171,27.0
172,31.0
173,30.0
174,33.0
175,31.0
176,25.0
177,34.0
178,28.0
179,23.0
180,27.0
181,25.0
182,26.0
183,23.0
184,27.0
185,23.0
186,29.0
187,28.0
188,28.0
189,24.0
190,30.0
191,34.0
192,28.0
193,31.0
194,27.0
195,25.0
196,28.0
197,31.0
198,31.0
199,29.0
200,26.0
201,27.0
202,25.0
203,31.0
204,33.0
205,35.0
206,30.0
207,22.0
208,26.0
209,22.0
210,26.0
211,22.0
212,22.0
213,26.0
214,30.0
215,61.0
216,26.0
217,23.0
218,26.0
219,25.0
220,24.0
221,29.0
222,28.0
223,27.0
224,26.0
225,33.0
226,29.0
227,28.0
228,28.0
229,32.0
230,25.0
231,27.0
232,31.0
233,30.0
234,30.0
235,41.0
236,31.0
237,28.0
238,41.0
239,27.0
240,36.0
241,30.0
242,23.0
243,25.0
244,28.0
245,26.0
246,24.0
247,26.0
248,30.0
249,26.0
250,24.0
251,26.0
252,25.0
253,26.0
254,23.0
255,25.0
256,35.0
257,26.0
258,27.0
259,33.0
260,25.0
261,33.0
262,26.0
263,31.0
264,41.0
265,27.0
266,29.0
267,24.0
268,24.0
269,29.0
270,27.0
271,27.0
272,23.0
273,24.0
274,27.0
275,24.0
276,23.0
277,26.0
278,28.0
279,22.0
280,26.0
281,27.0
282,25.0
283,23.0
284,25.0
285,25.0
286,23.0
287,23.0
288,27.0
289,24.0
290,27.0
291,23.0
292,30.0
293,27.0
294,30.0
295,26.0
296,25.0
297,25.0
298,30.0
299,26.0
300,61.0
301,26.0
302,28.0
303,26.0
304,30.0
305,26.0
306,26.0
307,22.0
308,22.0
309,61.0
310,26.0
311,26.0
312,30.0
313,27.0
314,24.0
315,24.0
316,22.0
317,41.0
318,26.0
319,25.0
320,29.0
321,28.0
322,41.0
323,23.0
324,26.0
325,26.0
326,24.0
327,26.0
328,22.0
329,26.0
330,27.0
331,36.0
332,35.0
333,31.0
334,22.0
335,29.0
336,26.0
337,25.0
338,27.0
339,23.0
340,28.0
341,23.0
342,33.0
343,23.0
344,27.0
345,29.0
346,30.0
347,24.0
348,22.0
349,31.0
350,23.0
351,26.0
352,26.0
353,27.0
354,29.0
355,26.0
356,61.0
357,28.0
358,25.0
359,26.0
360,28.0
361,26.0
362,24.0
363,31.0
364,41.0
365,61.0
366,28.0
367,31.0
368,23.0
369,29.0
370,23.0
371,28.0
372,27.0
373,26.0
374,31.0
375,31.0
376,31.0
377,26.0
378,36.0
379,27.0
380,29.0
381,29.0
382,36.0
383,26.0
384,27.0
385,28.0
386,27.0
387,23.0
388,25.0
389,31.0
390,33.0
391,31.0
392,25.0
393,28.0
394,30.0
395,28.0
396,27.0
397,35.0
398,26.0
399,24.0
400,26.0
401,25.0
402,26.0
403,24.0
404,26.0
405,29.0
406,25.0
407,23.0
408,34.0
409,23.0
410,23.0
411,26.0
412,27.0
413,24.0
414,28.0
415,25.0
416,24.0
417,31.0
418,26.0
419,61.0
420,26.0
