,label_4
0,2
1,8
2,6
3,6
4,6
5,6
6,6
7,6
8,6
9,2
10,6
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,6
19,0
20,6
21,2
22,6
23,6
24,6
25,6
26,6
27,6
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,8
40,6
41,3
42,6
43,6
44,6
45,1
46,6
47,6
48,6
49,0
50,6
51,6
52,6
53,6
54,0
55,6
56,6
57,6
58,6
59,6
60,6
61,3
62,6
63,2
64,6
65,6
66,6
67,6
68,6
69,12
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,5
81,12
82,6
83,6
84,6
85,6
86,12
87,4
88,6
89,6
90,6
91,6
92,6
93,6
94,6
95,6
96,7
97,6
98,6
99,0
100,4
101,2
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,6
110,6
111,6
112,6
113,6
114,6
115,6
116,6
117,6
118,0
119,6
120,6
121,6
122,6
123,6
124,12
125,9
126,6
127,11
128,5
129,6
130,6
131,6
132,6
133,6
134,6
135,1
136,6
137,6
138,6
139,7
140,6
141,6
142,6
143,7
144,6
145,6
146,6
147,6
148,6
149,6
150,0
151,7
152,3
153,6
154,6
155,10
156,4
157,6
158,9
159,6
160,6
161,8
162,6
163,6
164,6
165,6
166,6
167,6
168,6
169,6
170,6
171,6
172,6
173,6
174,6
175,6
176,6
177,5
178,6
179,6
180,6
181,6
182,6
183,4
184,7
185,6
186,6
187,6
188,6
189,2
190,6
191,5
192,6
193,6
194,6
195,6
196,6
197,6
198,6
199,6
200,6
201,13
202,6
203,6
204,6
205,11
206,6
207,1
208,6
209,2
210,4
211,6
212,6
213,6
214,6
215,6
216,6
217,3
218,12
219,6
220,6
221,6
222,6
223,6
224,6
225,6
226,6
227,9
228,6
229,12
230,8
231,6
232,6
233,10
234,6
235,6
236,6
237,6
238,6
239,6
240,6
241,6
242,2
243,6
244,9
245,6
246,6
247,6
248,6
249,6
250,6
251,6
252,6
253,6
254,6
255,6
256,11
257,6
258,6
259,6
260,6
261,6
262,6
263,6
264,6
265,6
266,6
267,6
268,6
269,6
270,6
271,6
272,6
273,6
274,13
275,6
276,3
277,6
278,6
279,6
280,6
281,6
282,6
283,0
284,6
285,6
286,4
287,6
288,6
289,6
290,6
291,6
292,10
293,7
294,10
295,6
296,6
297,6
298,6
299,6
300,6
301,6
302,9
303,6
304,6
305,6
306,6
307,1
308,6
309,6
310,6
311,6
312,6
313,6
314,6
315,6
316,2
317,6
318,6
319,6
320,6
321,6
322,6
323,0
324,6
325,6
326,6
327,6
328,2
329,6
330,6
331,6
332,11
333,6
334,6
335,6
336,6
337,6
338,6
339,6
340,6
341,6
342,6
343,6
344,7
345,6
346,6
347,2
348,1
349,7
350,6
351,6
352,6
353,6
354,0
355,6
356,6
357,6
358,6
359,6
360,6
361,6
362,6
363,7
364,6
365,6
366,9
367,6
368,6
369,6
370,6
371,6
372,6
373,6
374,6
375,6
376,6
377,6
378,6
379,13
380,6
381,6
382,6
383,6
384,13
385,6
386,6
387,4
388,8
389,6
390,6
391,6
392,6
393,6
394,10
395,6
396,6
397,6
398,6
399,6
400,6
401,6
402,6
403,2
404,6
405,6
406,6
407,6
408,5
409,6
410,6
411,6
412,2
413,6
414,6
415,6
416,6
417,7
418,6
419,6
420,6
421,6
422,12
423,6
424,6
425,6
426,6
427,8
428,6
429,6
430,6
431,9
432,6
433,6
434,6
435,6
436,6
437,6
438,13
439,5
440,6
441,6
442,6
443,6
444,6
445,6
446,6
447,6
448,6
449,6
450,6
451,6
452,4
453,6
454,3
455,12
456,5
457,6
458,6
459,6
460,6
461,6
462,6
463,6
464,6
465,6
466,6
467,6
468,6
469,6
470,8
471,7
472,6
473,6
474,12
475,6
476,6
477,6
478,10
479,6
480,1
481,6
482,6
483,6
484,6
485,6
486,6
487,7
488,6
489,6
490,6
491,6
492,6
493,6
494,6
495,6
496,6
497,6
498,6
499,7
500,6
501,6
502,6
503,6
504,11
505,6
506,6
507,6
508,6
509,6
510,6
511,6
512,0
513,6
514,7
515,10
516,2
517,7
518,0
519,6
520,6
521,6
522,6
523,6
524,6
525,8
526,3
527,6
528,6
529,6
530,7
531,6
532,6
533,6
534,6
535,8
536,6
537,6
538,6
539,6
540,6
541,6
542,6
543,6
544,6
545,6
546,7
547,6
548,6
549,0
550,6
551,6
552,7
553,12
554,6
555,6
556,6
557,6
558,6
559,6
560,6
561,6
562,6
563,6
564,6
565,7
566,6
567,6
568,2
569,6
570,2
571,6
572,9
573,2
574,6
575,6
576,6
577,6
578,7
579,6
580,6
581,6
582,6
583,3
584,6
585,6
586,6
587,6
588,6
589,0
590,6
591,6
592,6
593,6
594,6
595,6
596,6
597,10
598,6
599,6
600,6
601,6
602,6
603,6
604,6
605,6
606,6
607,6
608,6
609,6
610,6
611,6
612,6
613,6
614,6
615,8
616,6
617,7
618,0
619,0
620,6
621,6
622,6
623,6
624,2
625,6
626,6
627,11
628,6
629,9
630,6
631,6
632,7
633,6
634,6
635,6
636,6
637,6
638,6
639,6
640,6
641,0
642,7
643,6
644,6
645,1
646,6
647,6
648,6
649,6
650,6
651,1
652,13
653,6
654,6
655,6
656,6
657,6
658,6
659,5
660,6
661,6
662,6
663,6
664,6
665,6
666,6
667,7
668,6
669,6
670,0
671,6
672,6
673,11
674,0
675,6
676,6
677,6
678,6
679,6
680,4
681,6
682,12
683,6
684,6
685,6
686,6
687,6
688,6
689,6
690,13
691,6
692,0
693,6
694,6
695,6
696,6
697,6
698,6
699,6
700,9
701,6
702,11
703,6
704,6
705,6
706,6
707,4
708,6
709,6
710,6
711,6
712,6
713,3
714,4
715,6
716,6
717,6
718,6
719,6
720,6
721,6
722,6
723,6
724,6
725,6
726,6
727,6
728,6
729,6
730,6
731,6
732,6
733,6
734,6
735,6
736,2
737,4
738,6
739,6
740,2
741,6
742,12
743,6
