ID,label_1
1,26
2,18
3,16
4,7
5,58
6,46
7,7
8,22
9,29
10,26
11,33
12,6
13,54
14,51
15,29
16,48
17,23
18,2
19,43
20,42
21,11
22,33
23,39
24,36
25,21
26,48
27,28
28,55
29,2
30,51
31,55
32,46
33,1
34,56
35,30
36,22
37,31
38,6
39,51
40,18
41,19
42,47
43,6
44,46
45,59
46,25
47,31
48,38
49,5
50,32
51,25
52,56
53,39
54,37
55,32
56,29
57,46
58,52
59,28
60,34
61,13
62,47
63,55
64,24
65,23
66,18
67,20
68,6
69,36
70,38
71,22
72,28
73,44
74,46
75,55
76,59
77,49
78,55
79,57
80,12
81,52
82,38
83,23
84,4
85,31
86,49
87,14
88,19
89,12
90,39
91,36
92,43
93,34
94,32
95,54
96,46
97,27
98,5
99,7
100,42
101,19
102,26
103,31
104,36
105,53
106,10
107,12
108,33
109,54
110,2
111,57
112,37
113,17
114,50
115,46
116,46
117,17
118,34
119,32
120,21
121,34
122,40
123,8
124,22
125,38
126,15
127,39
128,9
129,52
130,37
131,28
132,13
133,10
134,55
135,28
136,25
137,11
138,57
139,16
140,27
141,37
142,2
143,51
144,27
145,32
146,46
147,16
148,23
149,11
150,46
151,42
152,37
153,47
154,50
155,3
156,41
157,19
158,20
159,15
160,8
161,3
162,18
163,5
164,28
165,46
166,49
167,16
168,40
169,17
170,20
171,53
172,57
173,46
174,16
175,11
176,35
177,34
178,52
179,41
180,20
181,7
182,18
183,21
184,4
185,37
186,55
187,29
188,28
189,23
190,35
191,46
192,52
193,30
194,27
195,13
196,7
197,28
198,14
199,3
200,36
201,17
202,60
203,18
204,3
205,22
206,9
207,46
208,25
209,17
210,26
211,19
212,36
213,36
214,21
215,1
216,44
217,39
218,47
219,38
220,6
221,50
222,39
223,23
224,37
225,48
226,22
227,58
228,15
229,30
230,38
231,18
232,54
233,3
234,41
235,16
236,8
237,43
238,7
239,8
240,57
241,10
242,16
243,4
244,20
245,15
246,51
247,56
248,33
249,16
250,35
251,50
252,51
253,5
254,51
255,31
256,6
257,9
258,31
259,57
260,22
261,5
262,11
263,11
264,43
265,8
266,7
267,58
268,50
269,50
270,58
271,13
272,13
273,47
274,50
275,60
276,50
277,47
278,36
279,28
280,36
281,49
282,7
283,34
284,32
285,5
286,2
287,19
288,55
289,57
290,50
291,45
292,32
293,41
294,37
295,41
296,51
297,20
298,20
299,11
300,38
301,44
302,31
303,15
304,40
305,46
306,39
307,21
308,25
309,36
310,44
311,54
312,17
313,46
314,57
315,43
316,53
317,26
318,8
319,17
320,5
321,39
322,28
323,8
324,32
325,21
326,49
327,56
328,17
329,26
330,49
331,54
332,10
333,9
334,3
335,36
336,39
337,27
338,18
339,54
340,29
341,23
342,10
343,11
344,47
345,37
346,39
347,41
348,35
349,25
350,27
351,4
352,51
353,12
354,33
355,42
356,38
357,44
358,23
359,6
360,12
361,30
362,40
363,56
364,27
365,8
366,44
367,15
368,59
369,39
370,39
371,29
372,28
373,7
374,31
375,3
376,59
377,3
378,13
379,10
380,60
381,58
382,42
383,10
384,31
385,60
386,23
387,7
388,19
389,18
390,43
391,11
392,37
393,2
394,23
395,41
396,33
397,29
398,39
399,40
400,53
401,7
402,20
403,21
404,35
405,31
406,58
407,6
408,25
409,52
410,29
411,55
412,20
413,60
414,50
415,28
416,47
417,50
418,27
419,5
420,44
421,24
422,8
423,38
424,51
425,37
426,23
427,8
428,18
429,13
430,13
431,8
432,15
433,5
434,39
435,11
436,39
437,31
438,58
439,60
440,52
441,30
442,31
443,5
444,29
445,33
446,10
447,48
448,21
449,51
450,21
451,50
452,55
453,19
454,49
455,47
456,38
457,52
458,6
459,17
460,11
461,40
462,17
463,30
464,4
465,4
466,36
467,30
468,58
469,57
470,53
471,18
472,37
473,57
474,57
475,14
476,13
477,13
478,30
479,41
480,57
481,25
482,16
483,43
484,36
485,13
486,43
487,23
488,37
489,29
490,6
491,48
492,13
493,29
494,24
495,13
496,29
497,31
498,55
499,13
500,27
501,51
502,22
503,22
504,49
505,9
506,46
507,56
508,12
509,30
510,56
511,52
512,40
513,32
514,16
515,37
516,41
517,26
518,5
519,42
520,11
521,36
522,47
523,23
524,16
525,29
526,18
527,47
528,23
529,22
530,40
531,27
532,33
533,30
534,40
535,40
536,18
537,31
538,1
539,7
540,59
541,28
542,44
543,56
544,57
545,3
546,3
547,37
548,21
549,34
550,32
551,56
552,44
553,37
554,38
555,2
556,22
557,29
558,53
559,32
560,27
561,49
562,55
563,39
564,33
565,31
566,27
567,48
568,30
569,24
570,54
571,26
572,36
573,15
574,35
575,17
576,16
577,4
578,17
579,27
580,10
581,12
582,33
583,6
584,47
585,21
586,8
587,48
588,55
589,16
590,42
591,39
592,20
593,24
594,39
595,16
596,33
597,57
598,41
599,1
600,49
601,46
602,1
603,40
604,14
605,19
606,18
607,43
608,52
609,57
610,16
611,51
612,1
613,2
614,49
615,59
616,18
617,8
618,37
619,32
620,32
621,57
622,55
623,5
624,30
625,26
626,18
627,38
628,9
629,12
630,15
631,11
632,19
633,37
634,53
635,19
636,8
637,17
638,14
639,4
640,34
641,22
642,32
643,27
644,15
645,3
646,25
647,50
648,8
649,53
650,30
651,1
652,25
653,60
654,40
655,11
656,42
657,4
658,44
659,55
660,52
661,20
662,34
663,2
664,59
665,59
666,8
667,53
668,37
669,43
670,1
671,32
672,50
673,51
674,9
675,32
676,5
677,31
678,1
679,46
680,14
681,19
682,24
683,38
684,59
685,6
686,6
687,20
688,32
689,51
690,2
691,60
692,10
693,42
694,48
695,54
696,43
697,39
698,8
699,50
700,30
701,15
702,2
703,9
704,4
705,22
706,44
707,16
708,29
709,31
710,24
711,52
712,50
713,1
714,47
715,19
716,10
717,59
718,43
719,21
720,44
721,48
722,22
723,7
724,20
725,23
726,33
727,53
728,31
729,51
730,4
731,46
732,59
733,28
734,55
735,50
736,56
737,26
738,19
739,16
740,56
741,31
742,52
743,38
744,21
